,city,lon,lat,wind_speed,max_temp,humidity,date,country,cloud
175,Avera,-82.53,33.19,3.36,66.99,88,1584493960,US,1
176,Taoudenni,-3.98,22.68,7.58,74.73,11,1584494117,ML,92
177,Banepā,85.52,27.63,4.5,50.0,93,1584493957,NP,20
178,Gijang,129.21,35.24,4.7,55.4,30,1584494117,KR,0
179,Pampa,-100.96,35.54,11.41,57.2,87,1584494036,US,90
180,Jacareacanga,-57.75,-6.22,2.82,76.01,93,1584493517,BR,83
181,Payo,103.64,-3.75,1.45,69.48,97,1584494118,ID,96
182,Abu Samrah,37.18,35.3,7.94,44.85,85,1584493935,SY,81
183,Krasnosel'kup,82.47,65.7,14.12,16.68,94,1584494118,RU,100
184,Moa,-74.94,20.66,4.5,65.41,96,1584494118,CU,45
185,San Patricio,-104.7,19.22,13.87,80.6,78,1584493982,MX,40
186,Carutapera,-46.02,-1.2,12.19,82.06,81,1584494119,BR,10
187,Zyryanka,150.85,65.75,2.3,-6.59,84,1584494119,RU,33
188,Hamilton,-84.53,39.18,2.04,48.0,70,1584493230,US,1
189,Pevek,170.31,69.7,12.01,25.61,95,1584494119,RU,100
190,Hervey Bay,152.85,-25.3,16.11,81.0,53,1584494119,AU,27
191,Mount Gambier,140.77,-37.83,11.41,77.0,33,1584493957,AU,90
192,Varkaus,27.87,62.32,10.29,39.2,80,1584494120,FI,90
193,Kemijärvi,27.43,66.71,11.48,32.07,92,1584494120,FI,100
194,Nikolskoye,30.79,59.7,8.95,39.2,86,1584494120,RU,75
195,Antofagasta,-70.4,-23.65,6.93,64.4,82,1584493520,CL,15
196,Moses Lake,-119.28,47.13,9.91,55.4,37,1584494121,US,1
197,Satipo,-74.64,-11.25,2.13,62.85,94,1584494121,PE,99
198,George Town,100.34,5.41,4.7,80.6,78,1584494121,MY,20
199,Ponta do Sol,-17.1,32.67,24.16,59.0,67,1584493920,PT,40
200,Chapais,-74.85,49.78,13.87,19.4,73,1584494121,CA,1
201,Bubaque,-15.83,11.28,20.76,79.45,70,1584493324,GW,20
202,Clyde River,-68.59,70.47,14.99,-18.4,75,1584493793,CA,90
